['48.850230#2.345415#0', '48.848308#2.342714#0'] 
['48.850230#2.345415#0', '48.850933#2.342926#0'] 
['48.850230#2.345415#0', '48.853255#2.344078#0'] 
['48.850230#2.345415#0', '48.852649#2.346835#0'] 
['48.850230#2.345415#0', '48.853456#2.348286#0'] 
['48.850230#2.345415#0', '48.861759#2.335872#0'] 
['48.872519#2.340194#0', '48.871492#2.342248#0'] 
['48.870818#2.345139#0', '48.867550#2.346220#0'] 
['48.876045#2.295366#0', '48.873716#2.295555#0'] 
['48.876045#2.295366#0', '48.871267#2.303445#0'] 
['48.876045#2.295366#0', '48.859027#2.298116#0'] 
['48.876045#2.295366#0', '48.861759#2.335872#0'] 
['48.876045#2.295366#0', '48.859027#2.298116#1'] 
['48.856917#2.306461#0', '48.859027#2.298116#0'] 
['48.867189#2.357823#1', '48.864620#2.356763#1'] 
['48.866821#2.317563#1', '48.865831#2.321477#1'] 
['48.866821#2.317563#1', '48.866167#2.312724#1'] 
['48.866821#2.317563#1', '48.871267#2.303445#1'] 
['48.866821#2.317563#1', '48.861759#2.335872#1'] 
['48.866821#2.317563#1', '48.859027#2.298116#1'] 
['48.869023#2.339840#1', '48.866665#2.340723#1'] 
['48.876777#2.358818#0', '48.861759#2.335872#0'] 
['48.871742#2.336504#1', '48.871251#2.332910#1'] 
['48.871742#2.336504#1', '48.861759#2.335872#1'] 
['48.863984#2.319633#1', '48.861236#2.333868#1'] 
['48.863984#2.319633#1', '48.865831#2.321477#1'] 
['48.863984#2.319633#1', '48.863477#2.313458#1'] 
['48.863984#2.319633#1', '48.853456#2.348286#1'] 
['48.863984#2.319633#1', '48.861759#2.335872#1'] 
['48.863984#2.319633#1', '48.859027#2.298116#1'] 
['48.881858#2.334171#0', '48.883900#2.332453#0'] 
['48.884666#2.329623#0', '48.883900#2.332453#0'] 
['48.884666#2.329623#0', '48.886968#2.340812#0'] 
['48.884666#2.329623#0', '48.886454#2.343009#0'] 
['48.884666#2.329623#0', '48.861759#2.335872#0'] 
['48.884666#2.329623#0', '48.859027#2.298116#1'] 
['48.863869#2.293522#0', '48.864270#2.296871#0'] 
['48.839275#2.320211#0', '48.859027#2.298116#1'] 
['48.850230#2.345415#1', '48.852649#2.346835#1'] 
['48.850230#2.345415#1', '48.853456#2.348286#1'] 
['48.850230#2.345415#1', '48.861759#2.335872#1'] 
['48.866821#2.317563#0', '48.868633#2.322655#0'] 
['48.866821#2.317563#0', '48.865831#2.321477#0'] 
['48.866821#2.317563#0', '48.866167#2.312724#0'] 
['48.866821#2.317563#0', '48.871267#2.303445#0'] 
['48.866821#2.317563#0', '48.861759#2.335872#0'] 
['48.875175#2.300155#1', '48.877185#2.297543#1'] 
['48.875175#2.300155#1', '48.872940#2.298083#1'] 
['48.875175#2.300155#1', '48.871841#2.300775#1'] 
['48.875175#2.300155#1', '48.873716#2.295555#1'] 
['48.875175#2.300155#1', '48.871267#2.303445#1'] 
['48.863869#2.293522#1', '48.864270#2.296871#1'] 
['48.863869#2.293522#1', '48.859027#2.298116#1'] 
['48.876138#2.324079#0', '48.875784#2.326546#0'] 
['48.849560#2.330109#0', '48.846921#2.337693#0'] 
['48.873791#2.343786#1', '48.871492#2.342248#1'] 
['48.858000#2.327978#0', '48.857844#2.331227#0'] 
['48.858000#2.327978#0', '48.860281#2.326122#0'] 
['48.858000#2.327978#0', '48.861759#2.335872#0'] 
['48.833792#2.332442#1', '48.853456#2.348286#1'] 
['48.833792#2.332442#1', '48.856714#2.350973#1'] 
['48.833792#2.332442#1', '48.861759#2.335872#1'] 
['48.833792#2.332442#1', '48.859027#2.298116#1'] 
['48.850021#2.333353#0', '48.851994#2.334191#0'] 
['48.850021#2.333353#0', '48.854319#2.333194#0'] 
['48.850021#2.333353#0', '48.846921#2.337693#0'] 
['48.856917#2.306461#1', '48.859027#2.298116#1'] 
['48.850022#2.354113#1', '48.852004#2.356903#1'] 
['48.850022#2.354113#1', '48.853458#2.353705#1'] 
['48.850022#2.354113#1', '48.851710#2.351451#1'] 
['48.850022#2.354113#1', '48.853456#2.348286#1'] 
['48.867189#2.357823#0', '48.864620#2.356763#0'] 
['48.867189#2.357823#0', '48.865289#2.360506#0'] 
['48.867189#2.357823#0', '48.866716#2.353324#0'] 
['48.856524#2.297195#0', '48.855300#2.300181#0'] 
['48.856524#2.297195#0', '48.859429#2.293169#0'] 
['48.856524#2.297195#0', '48.862169#2.288817#0'] 
['48.856524#2.297195#0', '48.858081#2.294634#0'] 
['48.856524#2.297195#0', '48.873716#2.295555#0'] 
['48.856524#2.297195#0', '48.853456#2.348286#0'] 
['48.856524#2.297195#0', '48.859027#2.298116#0'] 
['48.856524#2.297195#0', '48.861759#2.335872#0'] 
['48.854760#2.341352#0', '48.853255#2.344078#0'] 
['48.854760#2.341352#0', '48.857578#2.341494#0'] 
['48.854760#2.341352#0', '48.853456#2.348286#0'] 
['48.854760#2.341352#0', '48.861759#2.335872#0'] 
['48.882304#2.337442#0', '48.885084#2.337810#0'] 
['48.882304#2.337442#0', '48.886454#2.343009#0'] 
['48.868642#2.351671#1', '48.866716#2.353324#1'] 
['48.848308#2.342714#1', '48.846164#2.345149#1'] 
['48.848308#2.342714#1', '48.850933#2.342926#1'] 
['48.848308#2.342714#1', '48.846921#2.337693#1'] 
['48.848308#2.342714#1', '48.853456#2.348286#1'] 
['48.848308#2.342714#1', '48.856714#2.350973#1'] 
['48.848308#2.342714#1', '48.859027#2.298116#1'] 
['48.875787#2.344893#0', '48.873791#2.343786#0'] 
['48.855703#2.347893#0', '48.855445#2.345356#0'] 
['48.855703#2.347893#0', '48.857578#2.341494#0'] 
['48.855703#2.347893#0', '48.853227#2.349832#0'] 
['48.855703#2.347893#0', '48.853456#2.348286#0'] 
['48.855703#2.347893#0', '48.856714#2.350973#0'] 
['48.855703#2.347893#0', '48.861759#2.335872#0'] 
['48.848308#2.342714#0', '48.846164#2.345149#0'] 
['48.848308#2.342714#0', '48.850933#2.342926#0'] 
['48.848308#2.342714#0', '48.846921#2.337693#0'] 
['48.848308#2.342714#0', '48.853456#2.348286#0'] 
['48.858355#2.291549#1', '48.860768#2.290489#1'] 
['48.858355#2.291549#1', '48.859429#2.293169#1'] 
['48.858355#2.291549#1', '48.858368#2.337504#1'] 
['48.858355#2.291549#1', '48.862169#2.288817#1'] 
['48.858355#2.291549#1', '48.873716#2.295555#1'] 
['48.858355#2.291549#1', '48.858081#2.294634#1'] 
['48.858355#2.291549#1', '48.853456#2.348286#1'] 
['48.858355#2.291549#1', '48.861759#2.335872#1'] 
['48.858355#2.291549#1', '48.859027#2.298116#1'] 
['48.871742#2.336504#0', '48.869263#2.335473#0'] 
['48.871742#2.336504#0', '48.873190#2.331764#0'] 
['48.871742#2.336504#0', '48.871251#2.332910#0'] 
['48.869991#2.311176#0', '48.869809#2.307996#0'] 
['48.869991#2.311176#0', '48.871267#2.303445#0'] 
['48.869991#2.311176#0', '48.861759#2.335872#0'] 
['48.873791#2.343786#0', '48.861759#2.335872#0'] 
['48.858000#2.327978#1', '48.857844#2.331227#1'] 
['48.858000#2.327978#1', '48.860281#2.326122#1'] 
['48.858000#2.327978#1', '48.861759#2.335872#1'] 
['48.875175#2.300155#0', '48.872940#2.298083#0'] 
['48.875175#2.300155#0', '48.871841#2.300775#0'] 
['48.875175#2.300155#0', '48.873716#2.295555#0'] 
['48.875175#2.300155#0', '48.871267#2.303445#0'] 
['48.843469#2.359756#0', '48.853456#2.348286#0'] 
['48.867550#2.346220#1', '48.867607#2.348446#1'] 
['48.867550#2.346220#1', '48.866077#2.344397#1'] 
