['51.536022#-0.039265#0', '51.536305#-0.036434#0'] 
['51.508268#-0.101222#0', '51.507819#-0.099128#0'] 
['51.508268#-0.101222#0', '51.507819#-0.099128#1'] 
['51.515302#-0.173184#1', '51.515808#-0.175934#1'] 
['51.520030#-0.142574#0', '51.516874#-0.143601#0'] 
['51.509161#-0.084059#1', '51.511516#-0.083940#1'] 
['51.509161#-0.084059#1', '51.508300#-0.077523#1'] 
['51.562550#-0.100076#1', '51.566288#-0.104392#1'] 
['51.531744#-0.065632#0', '51.529309#-0.069539#0'] 
['51.515528#-0.200885#1', '51.515268#-0.204455#1'] 
['51.515295#-0.091757#1', '51.513763#-0.098992#1'] 
['51.539857#-0.055642#1', '51.538149#-0.057841#1'] 
['51.500853#-0.114141#0', '51.502202#-0.112323#0'] 
['51.501926#-0.081846#0', '51.499545#-0.081887#0'] 
['51.501926#-0.081846#0', '51.505333#-0.083247#0'] 
['51.511113#-0.077487#1', '51.508300#-0.077523#1'] 
['51.511113#-0.077487#1', '51.505179#-0.075614#1'] 
['51.507202#-0.071402#1', '51.507573#-0.074086#1'] 
['51.507202#-0.071402#1', '51.508300#-0.077523#1'] 
['51.507202#-0.071402#1', '51.505179#-0.075614#1'] 
['51.532352#-0.041167#0', '51.536022#-0.039265#1'] 
['51.532352#-0.041167#0', '51.562144#0.006446#0'] 
['51.507135#-0.092715#1', '51.507993#-0.096500#1'] 
['51.507135#-0.092715#1', '51.505554#-0.090585#1'] 
['51.507135#-0.092715#1', '51.507819#-0.099128#1'] 
['51.530607#-0.072111#0', '51.529309#-0.069539#0'] 
['51.499334#-0.164302#1', '51.498659#-0.161910#1'] 
['51.499334#-0.164302#1', '51.499833#-0.162802#1'] 
['51.507202#-0.071402#0', '51.507573#-0.074086#0'] 
['51.507202#-0.071402#0', '51.508300#-0.077523#0'] 
['51.507202#-0.071402#0', '51.505179#-0.075614#0'] 
['51.509799#-0.155024#1', '51.507482#-0.152279#1'] 
['51.469196#-0.069405#1', '51.470304#-0.067359#1'] 
['51.528286#-0.089383#1', '51.526580#-0.087763#1'] 
